product_id,product_name,brand_name,unit_selling_price,landing_cost_per_unit,discount_rate,procured_quantity,order_id
432764,Dabur Neem Germ Protection Toothpaste,Dabur,76.0,85.41983,0.0,1,112247443
19481,Pears Pure & Gentle Soap,Pears,179.0,187.69714,0.0,1,112247528
18575,Vim Lemon Dishwash Gel,Vim,148.0,169.91496,0.0,1,112247731
22392,Dove Daily Shine Hair Conditioner,Dove,142.0,174.63155,0.0,1,112254554
392236,Surf Excel Front Load Matic Liquid Detergent,Surf Excel,368.0,397.7431,0.0,1,112266987
436442,Aashirvaad Organic Arhar Dal,Aashirvaad,95.0,101.398,0.0,1,112247321
3769,Saffola Gold Healthy Lifestyle & Heart Edible Oil,Saffola,414.0,425.87997,0.0,2,112267256
392236,Surf Excel Front Load Matic Liquid Detergent,Surf Excel,395.0,397.73843,0.0,1,112267500
455288,Ariel Top Load Matic Liquid Detergent,Ariel,305.0,361.1041,0.0,1,112267815
395049,Odonil Zipper Room Freshener,Odonil,128.0,141.27205,0.0,1,112268048
407580,Pril Tamarind Shine Specialist Dishwash Gel,Pril,151.0,174.14372,0.0,1,112247773
400329,Mother Dairy Pure Cow Ghee,Mother Dairy,400.0,453.10593,0.0,3,112267028
439210,Wingreens Farms Butter Garlic Naan Chips,Wingreens Farms,30.0,31.203,0.0,1,112247973
395043,Stayfree Dry Max All Night Sanitary Pads (Extra Large Wings),Stayfree,425.0,446.43,0.0,1,112255880
243,Nescafe Classic Instant Coffee,Nescafe,276.0,285.1774,0.0,2,112267836
393,Surf Excel Top Load Matic Detergent Powder,Surf Excel,324.0,446.90024,0.0,1,112268638
39022,Pond's Magic Freshness Acacia Honey Talc,Pond's,311.0,320.30417,0.0,1,112268600
23888,Head & Shoulders Anti Dandruff Shampoo,Head & Shoulders,385.0,624.13153,0.0,1,112268663
479477,Goeld Cheeseful Naan,Goeld,91.0,101.25199,0.0,1,112287334
82224,Saffola Gold Healthy Lifestyle & Heart Edible Oil,Saffola,203.0,215.28201,0.0,1,112287382
243,Nescafe Classic Instant Coffee,Nescafe,276.0,285.3555,0.0,1,112287446
409120,Colgate Toothpaste Bamboo Charcoal Black Gel And Wintergreen Mint For A Clean Mouth Experience,Colgate,99.0,108.9454,0.0,1,112288619
477869,9 Watt LED Bulb (Warm White/Golden Yellow) - Philips,Philips,270.0,310.0,0.0,1,112294749
393,Surf Excel Top Load Matic Detergent Powder,Surf Excel,324.0,446.6433,0.0,1,112294941
19184,Colgate Strong Teeth Anticavity Toothpaste,Colgate,216.0,221.40434,0.0,1,112306437
408764,Tide Extra Power (Jasmine & Rose) - 7 kg Detergent Powder - with Free Detergent Powder - 3 kg,Tide,890.0,924.9813,0.0,1,112307414
17184,Tropicana Apple Delight Juice,Tropicana,82.0,84.000145,0.0,1,112286578
114481,"Sunsilk Nourishing Soft & Smooth Shampoo, 650 ml",Sunsilk,406.0,493.05545,0.0,1,112286910
211410,Pears Pure & Gentle Soap - Pack of 5,Pears,280.0,290.48267,0.0,1,112287344
260417,Britannia Roasted Garlic Cheese Spread,Britannia,94.0,94.01675,0.0,1,112297814
108920,Saffola Active Pro Weight Watchers Edible Oil,Saffola,190.0,196.56,0.0,1,112287094
18575,Vim Lemon Dishwash Gel,Vim,148.0,169.82101,0.0,1,112287555
436305,Aashirvaad Organic Atta,Aashirvaad,250.0,265.59796,0.0,2,112288286
104,Aashirvaad Salt 1 kg,Aashirvaad,19.0,20.0,0.0,1,112294768
445811,Lifebuoy Germ Kill Disinfectant Spray (No Gas),Lifebuoy,140.0,160.07898,0.0,1,112326827
392004,Parachute 100% Pure Coconut Oil,Parachute,232.0,237.51,0.0,1,112327002
477170,Britannia Roasted Garlic - Cheese Spread,Britannia,41.0,51.266796,0.0,1,112339104
406534,Lizol Disinfectant Surface Floor Cleaner (Floral),Lizol,697.0,737.61505,0.0,1,112348628
55360,Parle Platina Hide & Seek Chocolate Chip Cookies,Parle Platina,48.0,52.8,0.0,2,112349099
402030,Nestea Ready to Drink Lemon Flavour Iced Tea,Nestea,125.0,125.145,0.0,1,112350529
458200,Nissin Geki - Hot & Spicy Korean Veg Flavoured Instant Noodles,Nissin,37.0,38.707,0.0,2,112351286
475679,Jade Forest Premium Club Soda Water,Jade Forest,46.0,56.245743,0.0,1,112307305
33216,B Natural Mixed Fruit Juice,B Natural,73.0,95.995,0.0,4,112307720
438988,Wingreens Farms Italian Herb Mayonnaise,Wingreens Farms,150.0,155.22101,0.0,1,112314469
294102,Odonil Lavender Mist Room Freshener,Odonil,124.0,137.09256,0.0,1,112327994
427139,Parle wafers Cream n Onion Potato Chips,Parle wafers,30.0,48.002995,0.0,1,112328184
63818,D'lecta Cheese Block,D'lecta,99.0,129.43074,0.0,2,112328725
34718,Saffola Active Pro Weight Watchers Edible Oil,Saffola,1016.0,1057.676,0.0,1,112308616
373525,Colgate Vedshakti Ayurvedic Toothpaste,Colgate,93.0,94.882195,0.0,2,112317301
63194,Tresemme Smooth & Shine Conditioner 190 ml,Tresemme,172.0,200.8625,0.0,1,112326626
28418,Santoor Sandal & Turmeric Soap - Pack of 4,Santoor,166.0,167.19441,0.0,1,113497429
402201,Dove Intense Repair Shampoo For Dry & Damaged Hair,Dove,540.0,701.156,0.0,1,113758695
17184,Tropicana Apple Delight Juice,Tropicana,82.0,84.0,0.0,1,113497573
46074,Parle Real Elaichi Premium Rusk,Parle,40.0,42.500805,0.0,1,113513587
352107,Exo Anti-Bacterial Dishwashing Tub (Ginger Twist),Exo,126.0,130.378,0.0,1,113518977
91039,Maggi Rich Tomato Ketchup 1 kg,Maggi,119.0,130.05048,0.0,1,113520012
19184,Colgate Strong Teeth Anticavity Toothpaste,Colgate,202.0,221.39409,0.0,1,113520253
211410,Pears Pure & Gentle Soap - Pack of 5,Pears,280.0,290.48303,0.0,1,113540419
458199,Nissin Geki - Hot & Spicy Korean Chicken Flavoured Instant Noodles,Nissin,30.0,38.707,0.0,1,113540714
401246,Britannia Winkin Cow Chocolate Thick Milkshake,Britannia,27.0,29.914078,0.0,1,113540853
475576,Typhoo Envelop Green Tea Bags,Typhoo,300.0,375.018,0.0,1,113540919
110136,Brooke Bond Taj Mahal Tea (1 kg),Brooke Bond Taj Mahal,550.0,550.98444,0.0,1,113541004
3587,24 Mantra Organic Kala Chana,24 Mantra,60.0,60.795,0.0,2,113541215
364817,Ariel Top Load Matic Detergent Powder - Buy 4 kg Get 2 kg Free,Ariel,904.0,1064.8105,0.0,1,113541408
439210,Wingreens Farms Butter Garlic Naan Chips,Wingreens Farms,30.0,31.202997,0.0,1,113876095
19735,Glucon-D Tangy Orange Instant Energy Drink Mix,Glucon-D,300.0,314.3036,0.0,1,113655547
421679,Palmolive Luminous Oils Invigorating Shower Gel,Palmolive,187.0,218.13464,0.0,1,113669553
3923,Green Peas,,12.0,14.975408,0.0,1,113674495
19512,Amul Taaza Toned Fresh Milk,Amul,24.0,24.13,0.0,2,113674613
392236,Surf Excel Front Load Matic Liquid Detergent,Surf Excel,395.0,397.74319999999994,0.0,3,113674733
220611,Dabur 100 % Pure Squeezy Honey - Buy 1 Get 1 Free,Dabur,297.0,308.144,0.0,1,113674733
481201,Bingo Cream and Onion Potato Chips,Bingo,25.0,41.5,0.0,1,113675251
408766,Surf Excel Front Load Matic Detergent Powder,Surf Excel,730.0,759.7269,0.0,1,113675559
477482,Eggoz Farm Fresh White Eggs (10 pieces),Eggoz,88.0,98.0,0.8863636363636364,1,113675758
32790,Slice Thickest Mango Drink,Slice,76.0,76.95485,0.8947368421052632,1,113675758
108301,Aashirvaad Multigrain Atta,Aashirvaad,275.0,280.02066,0.0,1,113676098
3888,Green Capsicum,,18.0,24.513512,0.0,1,113676227
127687,Lux Jasmine & Vitamin E Beauty Soap Mega Pack 3 x 150 g,Lux,132.0,147.47804,0.0,1,113734140
358,Real Activ 100% Apple Juice,Real,115.0,116.05398,0.0,2,113948594
466066,Colgate Total Whole Mouth Health Toothpaste - Pack of 2,Colgate,173.0,202.06516,0.0,2,113948837
374055,Bingo Original Style Chilli Potato Chips - Pack of 2,Bingo,32.0,33.196834,0.0,2,113948853
127096,Nestle Munch Chocolate Coated Crunchy Wafers - Share Pack,Nestle,85.0,85.36288,0.0,1,113949168
19191,Colgate MaxFresh Toothpaste (Spicy Fresh),Colgate MaxFresh,146.0,152.94398,0.0,1,113949251
353,Real Fruit Power Mixed Fruit Juice 1 l,Real,97.0,98.83539,0.0,3,113949412
10088,Cucumber,,15.0,17.288836,0.0,1,114099835
18322,Mountain Dew Soft Drink,Mountain Dew,64.0,64.80506,0.0,2,114113023
474412,Jade Forest Sparkling Grapefruit Tonic Water,Jade Forest,51.0,63.75623,0.0,1,114113291
3587,24 Mantra Organic Kala Chana,24 Mantra,60.0,60.761684,0.0,2,113801005
18822,Dettol Skincare Germ Protection Bathing Bar Soap,Dettol,54.0,54.869,0.0,2,113801250
307446,Pepsodent Germicheck 8 Actions Toothpaste,Pepsodent,113.0,115.836,0.0,1,113801576
369007,Odonil Bathroom Air Freshener Blocks - Mixed Fragrances - Pack of 4,Odonil,134.0,138.24779,0.0,1,113804588
17312,McVitie's Digestive Wholewheat Biscuit,McVitie's,19.0,20.497026,0.0,1,113825304
23467,MTR 3 Minute Poha Breakfast Mix,MTR 3 Minute,20.0,20.001005,0.0,4,113826618
477787,epigamia Alphonso Mango Flavoured Yogurt,epigamia,20.0,32.0,0.0,2,113827089
19735,Glucon-D Tangy Orange Instant Energy Drink Mix,Glucon-D,300.0,314.30908,0.0,1,113929705
447335,Too Yumm Baked Tomato Twist Rings Crisps,Too Yumm,25.0,39.502,0.0,1,113930742
427133,Parle Monaco Classic Regular Biscuit,Parle Monaco,96.0,105.59889,0.0,1,113952348
289003,"Pepsodent Germicheck 8 Actions With Anti Germ Formula, Clove & Neem Oil Toothpaste",Pepsodent,77.0,78.979034,0.0,1,113756506
400525,B Natural Mixed Fruit Juice - Buy 1 Get 1 Free,B Natural,120.0,191.99346,0.0,1,113756695
432778,Lay's American Style Cream & Onion Flavour Potato Chips,Lay's,42.0,42.00076,0.0,1,115335418
368445,Kissan Fresh Tomato Ketchup,Kissan,103.0,104.35712,0.0,1,112491171
124894,Top Ramen Masala Noodles,Top Ramen,37.0,37.922997,0.0,1,112491659
18555,Surf Excel Easy Wash Detergent Powder,Surf Excel,186.0,197.54826,0.0,1,112491814
424195,Cinthol Lime Soap,Cinthol,187.0,193.18405,0.0,1,112290406
10506,Complan Royale Chocolate Nutrition and Health Drink,Complan,255.0,265.134,0.0,1,112296847
19729,Glucon-D Nimbu Pani Instant Energy Drink Mix,Glucon-D,310.0,314.305,0.0,1,112310597
436313,Colgate Vedshakti Protect Mouth Spray,Colgate,81.0,83.19311,0.0,1,112311418
400926,Nescafe Iced Latte Cold Coffee,Nescafe,48.0,50.064,0.0,1,112329472
33213,B Natural Litchi Juice,B Natural,90.0,95.995,0.0,1,113327518
375328,Kurkure Puffcorn Yummy Cheese Puffs - Pack of 3,Kurkure,51.0,51.006,0.0,1,113343986
385846,Aashirvaad Svasti Pure Cow Ghee,Aashirvaad Svasti,535.0,557.603,0.0,2,113346526
400927,Nescafe Intense Cappuccino Cold Coffee,Nescafe,43.0,45.886,0.0,1,113347155
352,Real Fruit Power Guava Juice,Real,93.0,93.30753,0.0,1,113348275
59854,Tropicana Mixed Fruit Delight Juice,Tropicana,90.0,91.99702,0.0,2,113348587
400927,Nescafe Intense Cappuccino Cold Coffee,Nescafe,44.0,45.889874,0.0,2,113348603
19481,Pears Pure & Gentle Soap,Pears,179.0,187.69702,0.0,1,113365045
18555,Surf Excel Easy Wash Detergent Powder,Surf Excel,186.0,197.54826,0.0,1,112491988
445815,Dove Cream Beauty Bathing Soap (3 x 125 g) - Pack of 3,Dove,195.0,220.18181,0.0,1,112492539
477818,Dukes Bourbon Biscuit - Buy 1 Get 1 Free,Dukes,36.0,40.594048,0.0,1,112505512
74625,Tropicana Guava Delight Juice,Tropicana,82.0,84.00002,0.0,1,112531900
37173,"Nestle a+ ActiPlus Dahi, Probiotic Curd",Nestle,63.0,70.02,0.0,1,112531903
169132,Green Grapes,,57.0,46.0,1.0,1,112532033
19735,Glucon-D Tangy Orange Instant Energy Drink Mix,Glucon-D,300.0,314.30206,0.0,1,112532094
477780,"epigamia Unsweetened Almond Beverage (Lactose-Free, Plant-Based / Vegan / Milk Alternative)",epigamia,239.0,240.0,0.0,1,112532609
211410,Pears Pure & Gentle Soap - Pack of 5,Pears,280.0,290.48303,0.0,1,112532736
33208,B Natural Guava Juice,B Natural,90.0,95.994995,0.0,1,112532744
37173,"Nestle a+ ActiPlus Dahi, Probiotic Curd",Nestle,63.0,70.020004,0.0,1,112532798
307779,Hen Fruit Farm Brown Eggs,Hen Fruit,53.0,73.51672,0.0,1,112331372
3769,Saffola Gold Healthy Lifestyle & Heart Edible Oil,Saffola,414.0,425.86862,0.0,1,112331565
477482,Eggoz Farm Fresh White Eggs (10 pieces),Eggoz,88.0,98.0,0.0,1,112331652
393,Surf Excel Top Load Matic Detergent Powder,Surf Excel,324.0,446.89706,0.0,1,112333026
481197,Parle Chatkeen Khatta Meetha Namkeen,Parle,121.0,129.998,0.0,1,112333444
476668,Sante Zesty Orange Fruit Drink,Sante,26.0,44.996,0.0,1,112339597
19729,Glucon-D Nimbu Pani Instant Energy Drink Mix,Glucon-D,310.0,314.305,0.0,1,112351806
131475,Nivea Men Fresh Active Roll On,Nivea Men,160.0,165.021,0.0,1,112353385
13980,Tata Tea Premium Tea,Tata Tea,401.0,425.84897,0.0,1,112353736
18575,Vim Lemon Dishwash Gel,Vim,149.0,169.837,0.0,1,112354394
294102,Odonil Lavender Mist Room Freshener,Odonil,128.0,141.27,0.0,1,113370176
3952,Sweet Potato,,24.0,35.0,0.0,2,113394001
402326,Stayfree Secure Cottony Soft Sanitary Pads (Extra Large Wings) - Pack of 2,Stayfree,216.0,219.63998,0.0,1,113394591
458199,Nissin Geki - Hot & Spicy Korean Chicken Flavoured Instant Noodles,Nissin,37.0,38.707,0.0,1,113413789
13980,Tata Tea Premium Tea,Tata Tea,393.0,425.8491,0.0,1,113416845
436393,Pears Naturale Pomegranate Brightening Body Wash - Pack of 2,Pears,292.0,351.0222,0.0,1,113416900
10088,Cucumber,,10.0,13.0,0.0,1,113417896
13980,Tata Tea Premium Tea,Tata Tea,393.0,425.84897,0.0,1,112534864
33213,B Natural Litchi Juice,B Natural,90.0,95.99525,0.0,1,112552509
18322,Mountain Dew Soft Drink,Mountain Dew,60.0,64.80092,0.0,1,112552936
429898,Pears Naturale Pomegranate Brightening Body Wash,Pears,147.0,172.87584,0.0,1,112554046
385846,Aashirvaad Svasti Pure Cow Ghee,Aashirvaad Svasti,536.0,557.603,0.0,1,112554469
33218,B Natural Orange Juice,B Natural,90.0,95.995,0.0,1,112555252
189821,Papaya,,38.0,44.0,0.0,1,114975884
477169,Britannia Classic Cheese Spread 100 g,Britannia,45.0,51.284904,0.0,1,114980982
23691,Pepsi Soft Drink,Pepsi,64.0,64.806,0.0,1,114992787
420172,Liril Lime & Tea Tree Oil Soap,Liril,252.0,390.1287,0.0,1,115008660
11251,Lizol Disinfectant Surface & Floor Cleaner (Citrus) - 2 l,Lizol,337.0,346.515,0.0,1,115011704
82224,Saffola Gold Healthy Lifestyle & Heart Edible Oil,Saffola,203.0,215.282,0.0,1,112505764
86899,Domex Original Expert Toilet Cleaner,Domex,159.0,163.46053,0.0,1,112505887
361794,Saffola Gold Blended Cooking Oil (Healthy Lifestyle & Heart),Saffola,2820.0,2924.3127,0.0,1,112506011
32416,Amul Salted Butter (Chiplets),Amul,61.0,55.50999,1.0,2,112522784
477818,Dukes Bourbon Biscuit - Buy 1 Get 1 Free,Dukes,36.0,40.53936,0.0,1,112527115
447335,Too Yumm Baked Tomato Twist Rings Crisps,Too Yumm,26.0,39.500214,0.0,1,112527569
401249,Britannia Winkin Cow Vanilla Thick Milkshake,Britannia,27.0,29.701279,0.0,1,112829353
160704,Amul Cow Fresh Milk,Amul,23.0,24.869999000000004,0.0,3,112829752
209178,Harpic Disinfectant Liquid Toilet Cleaner,Harpic,184.0,169.30177,0.9836956521739131,1,112848251
32790,Slice Thickest Mango Drink,Slice,76.0,76.92421,0.0,1,112849943
95031,Garlic,,15.0,15.700002,0.0,1,112850225
320666,Harpic Disinfectant Liquid Bathroom Cleaner (Lemon),Harpic,162.0,165.11902,0.0,1,112872222
140973,Wipro Safewash Gentle Wash Liquid Detergent (Suitable for top load) - Buy 1 Get 1 Free,Wipro Safewash,316.0,323.001,0.0,2,114198128
392235,Surf Excel Top Load Matic Liquid Detergent,Surf Excel,317.0,348.58197,0.0,2,114200007
475880,Everyuth Naturals Nourishing Cocoa Body Lotion (Intense Moisturization With Almond Milk),Everyuth,188.0,199.99866,0.0,1,114200212
392235,Surf Excel Top Load Matic Liquid Detergent,Surf Excel,332.0,348.58066,0.0,1,114220731
477483,Eggoz Farm Fresh White Eggs,Eggoz,207.0,228.61516,0.0,1,114221404
169132,Green Grapes,,59.0,62.0,0.0,1,114221528
18575,Vim Lemon Dishwash Gel,Vim,157.0,177.86484,0.0,1,115023367
427133,Parle Monaco Classic Regular Biscuit,Parle Monaco,96.0,105.598,0.0,1,115026618
15406,MTR Roasted Vermicelli,MTR,76.0,82.95099,0.0,1,115027066
400929,Dabur Red Ayurvedic Gel Toothpaste,Dabur Red,113.0,140.68373,0.0,1,115030939
425725,Mr. White Ultimate whiteness Detergent Powder,Mr. White,450.0,468.82602,0.0,1,115035554
400525,B Natural Mixed Fruit Juice - Buy 1 Get 1 Free,B Natural,120.0,191.99,0.0,1,115040295
127163,Tide Double Power Lemon & Mint Detergent Powder,Tide,451.0,486.1066,0.0,1,115041487
380938,Real Activ 100% Tender Coconut Water - Pack of 6,Real,249.0,257.91576,0.0,1,115055658
82224,Saffola Gold Healthy Lifestyle & Heart Edible Oil,Saffola,204.0,215.28201,0.0,1,115055954
397484,Britannia Treat Croissant with Vanilla Creme Filling,Britannia Treat,17.0,17.089163,0.0,1,112549620
368445,Kissan Fresh Tomato Ketchup,Kissan,85.0,86.964,0.0,1,112549943
393,Surf Excel Top Load Matic Detergent Powder,Surf Excel,319.0,443.79782,0.0,1,112563994
74625,Tropicana Guava Delight Juice,Tropicana,82.0,84.00002,0.0,1,112564037
21854,Biotique Ocean Kelp Anti Hair Fall Shampoo,Biotique,113.0,118.45103,0.0,1,112566167
74625,Tropicana Guava Delight Juice,Tropicana,82.0,84.00247,0.0,1,112569374
424382,Knorr Pizza & Pasta Sauce,Knorr,52.0,53.136005,0.0,1,112569403
409777,Parle Kismi Assorted Candy,Parle Kismi,40.0,41.003,0.0,1,112569958
18322,Mountain Dew Soft Drink,Mountain Dew,60.0,64.80235,0.0,1,112570476
82224,Saffola Gold Healthy Lifestyle & Heart Edible Oil,Saffola,203.0,215.282,0.0,1,112570527
479849,Saffron Groundnuts,Saffron,51.0,61.59999,0.0,1,112571015
240122,Lifebuoy Total 10 Hand Wash,Lifebuoy Total 10,99.0,104.428,0.0,1,112571504
427133,Parle Monaco Classic Regular Biscuit,Parle Monaco,96.0,105.59894,0.0,1,112874941
427625,Sunsilk Lusciously Thick & Long Shampoo,Sunsilk,514.0,644.0794,0.0,1,112901388
410824,Dabur 100% Pure Squeezy Honey - Buy 1 Get 1 Free,Dabur,156.0,169.12614,0.0,1,112901615
439619,Parle Premium Real Elaichi Rusk,Parle,118.0,136.00029,0.0,1,112901701
446798,Exo Anti-Bacterial Steel Scrub - Pack of 3,Exo,37.0,40.174328,0.0,2,112901713
442942,Kesh King Scalp And Hair Medicine Anti- Hairfall Conditioner,Kesh King,127.0,159.98363,0.0,1,112901769
424195,Cinthol Lime Soap,Cinthol,182.0,191.40483,0.0,1,113370020
422948,Sunfeast Yippee Magic Masala Instant Noodles,Sunfeast Yippee,119.0,123.84501,0.0,1,113389966
395049,Odonil Zipper Room Freshener,Odonil,128.0,141.26906,0.0,1,113390825
365044,Gillette Venus Comfortglide Hair Removal Women's Razor,Gillette,277.0,285.088,0.0,1,113391976
966,Colgate MaxFresh Plax Antibacterial Fresh Tea Mouthwash,Colgate MaxFresh,121.0,125.31503,0.0,1,112967888
400926,Nescafe Iced Latte Cold Coffee,Nescafe,48.0,50.064,0.0,2,112986868
77113,Lizol Disinfectant Surface & Floor Cleaner (Citrus),Lizol,664.0,705.5163,0.0,1,112987332
33218,B Natural Orange Juice,B Natural,90.0,95.995,0.0,1,112988551
367009,Closeup Everfresh+ Anti-Germ Gel Red Hot Toothpaste - Pack of 2,Closeup,140.0,143.91621,0.0,1,113009169
368445,Kissan Fresh Tomato Ketchup,Kissan,85.0,86.96401,0.0,1,113009935
426670,Dabur Vedic Suraksha Green Tea,Dabur,126.0,154.508,0.0,1,114643801
55360,Parle Platina Hide & Seek Chocolate Chip Cookies,Parle Platina,48.0,52.805004,0.0,1,114647964
32509,D'lecta Dairy Fresh Cream,D'lecta,47.0,49.310005,0.0,2,114651724
187290,Glucon-D Orange Energy Drink Mix,Glucon-D,153.0,154.22162,0.0,1,114673244
31999,24 Mantra Split Organic Moong Dal (Chilka),24 Mantra,102.0,102.88166,0.0,1,114685651
82341,Maggi Cheese Macaroni Instant Pasta,Maggi,24.0,24.001547000000002,0.0,3,114686079
352107,Exo Anti-Bacterial Dishwashing Tub (Ginger Twist),Exo,126.0,130.37798,0.0,1,112369056
3923,Green Peas,,11.0,13.0,0.0,2,112382064
160704,Amul Cow Fresh Milk,Amul,23.0,24.870005,0.0,1,112383049
3888,Green Capsicum,,17.0,21.0,0.0,1,112383509
408764,Tide Extra Power (Jasmine & Rose) - 7 kg Detergent Powder - with Free Detergent Powder - 3 kg,Tide,890.0,925.00604,0.0,1,112384085
111385,Maggi Masala Penne Instant Pasta,Maggi,24.0,24.001778,0.0,2,112400834
152381,Pears Pure & Gentle Body Wash - with Free Loofah,Pears,115.0,118.467606,0.0,1,112401517
455665,Clean & Clear Foaming Face Wash,Clean & Clear,212.0,214.24019,0.0,1,112401582
407479,Parachute Advansed Gold Coconut Hair Oil,Parachute Advansed,190.0,192.104,0.0,1,112402825
3898,Lady Finger,,18.0,20.0,0.0,1,113393325
169132,Green Grapes,,53.0,57.6875,0.0,1,113393379
169132,Green Grapes,,52.0,58.0,0.0,1,113393550
243,Nescafe Classic Instant Coffee,Nescafe,285.0,285.3955,0.0,1,113414762
124894,Top Ramen Masala Noodles,Top Ramen,37.0,37.923,0.0,1,113414839
365044,Gillette Venus Comfortglide Hair Removal Women's Razor,Gillette,297.0,306.151,0.0,1,113415419
352107,Exo Anti-Bacterial Dishwashing Tub (Ginger Twist),Exo,126.0,130.37848,0.0,1,113415634
18555,Surf Excel Easy Wash Detergent Powder,Surf Excel,186.0,187.697,0.25268817204301075,1,113416996
428248,Kurkure Chilli Chatka Crisps - Pack of 3,Kurkure,51.0,51.005796,0.0,1,113432948
3888,Green Capsicum,,18.0,20.184212,0.0,1,113010725
100476,Bingo Cream & Onion Potato Chips,Bingo,16.0,16.60185,0.0,2,113029248
222470,Parle Cream & Onion Potato Chips (Celebration Pack),Parle,21.0,24.002,0.0,1,113029415
477482,Eggoz Farm Fresh White Eggs (10 pieces),Eggoz,88.0,91.0,0.0,2,113029756
424362,Whisper Ultra Clean Sanitary Pads (XL+),Whisper,421.0,442.88998,0.0,1,113031204
401256,Britannia Winkin Cow Strawberry Thick Milkshake,Britannia,27.0,29.913548000000002,0.0,3,113031507
19512,Amul Taaza Toned Fresh Milk,Amul,22.0,24.15,0.0,2,113031670
33216,B Natural Mixed Fruit Juice,B Natural,73.0,95.995,0.0,1,113033569
350143,Chef's Basket Durum Wheat Penne Domestic Pasta,Chef's Basket,89.0,131.253,0.0,2,113050997
392235,Surf Excel Top Load Matic Liquid Detergent,Surf Excel,320.0,348.89297,0.0,1,113051569
211410,Pears Pure & Gentle Soap - Pack of 5,Pears,280.0,290.483,0.0,1,113051584
150867,Britannia Pure Magic Chocolush Center Filled Biscuits,Britannia Pure Magic,92.0,119.145454,0.0,1,112425147
307446,Pepsodent Germicheck 8 Actions Toothpaste,Pepsodent,113.0,115.83599,0.0,1,112425544
401246,Britannia Winkin Cow Chocolate Thick Milkshake,Britannia,27.0,29.914968,0.0,2,112438950
