product_id,revenue,total_qty,profit,product_name
52,44626736.16600001,250055.0,2239626.9390200004,Fortune Soya Health Refined Soyabean Oil
333324,38480458.923999995,110221.0,-696602.2917599999,Aashirvaad Shudh Chakki Whole Wheat Atta (10 kg)
15907,35883584.582,194562.0,2302404.77695,Fortune Premium Kachi Ghani Pure Mustard Oil
19512,31302090.457,1261153.0,814034.4151110003,Amul Taaza Toned Fresh Milk
388639,30187228.342,97533.0,2505974.2997300006,Chakki Atta (10 kg)
391306,27380074.327999998,1171389.0,6969042.565421002,Onion
12872,26556673.445999995,897112.0,377881.59689900046,Amul Gold Full Cream Fresh Milk
383480,24310265.983999994,175127.0,-1252189.4632370002,Maggi Masala Noodles - Pack of 12
160,23648669.137999997,97703.0,1262005.4120299998,Amul Salted Butter
352443,22815074.074,396320.0,4835682.296790999,Tender Coconut
82898,22080463.0,46396.0,1426332.306,Milkfood Rich Desi Danedar Ghee
3881,19037786.507,766785.0,4217951.440585,Hybrid Tomato
15902,18714862.0,20461.0,1026974.2426699998,Fortune Premium Kachi Ghani Pure Mustard Oil
445675,18320434.285000004,719921.0,4106115.7848670003,Desi Tomato
329500,16721978.467999997,217914.0,1358386.768513,Amul Fresh Malai Paneer
408764,16262479.783,18511.0,-999554.4635000002,Tide Extra Power (Jasmine & Rose) - 7 kg Detergent Powder - with Free Detergent Powder - 3 kg
333764,16057169.269999998,85840.0,590477.3796500004,Aashirvaad Shudh Chakki Whole Wheat Atta (5 kg)
114918,15062996.782000002,11956.0,234730.57779999945,Saffola Gold Refined Blended Cooking Oil (Rice Bran + Sunflower) - Free 1 l Pouch
192,14495109.655000003,174458.0,1350792.8957500006,Mother Dairy Paneer
380157,14391876.120999994,42180.0,945914.6201399997,"Fortune Chakki Fresh (100% Atta, 0% Maida) Atta"
43,14014171.529,69782.0,616253.3763599999,Fortune Sunlite Refined Sunflower Oil
17748,13977615.168,342704.0,4913621.9432,Lemon
369752,13955136.150999999,297974.0,4203923.682748001,Kiran Watermelon
7,13724033.814000001,52635.0,261084.2208900001,Aashirvaad Select Whole Wheat Sharbati Atta
108301,12699815.314999998,47458.0,206899.93466999984,Aashirvaad Multigrain Atta
333785,12685013.494,483844.0,3094409.1525050006,Potato (Chipsona)
391740,12533365.0,74342.0,839503.0062499999,GMC Kachi Ghani Mustard Oil
389719,12408069.395000005,33800.0,1206442.68038,GMC American Almonds
39493,12210905.6,87051.0,1821749.974807999,Tata Sampann Unpolished Arhar Dal/Toor Dal
403799,12034270.918999998,113375.0,855293.2700260003,Basic Arhar Dal/Toor Dal
400105,11879132.637000004,265186.0,532731.246326,Grocery 1 kg Sugar
176,11818863.458000002,174856.0,717596.000035,Amul Taaza Homogenised Toned Milk
10974,11728772.292000001,33371.0,698412.6343500002,Daawat Rozana Super Basmati Rice
247758,11379555.217999998,91312.0,3191603.8962399997,Safeda Mango
103115,11289256.0,65278.0,762572.51453,Pansari Kachi Ghani Mustard Oil
14162,11282088.112999998,46327.0,1030733.8531000004,Madhur Pure & Hygienic Sulphurless Sugar (M30)
14626,11060190.44,10809.0,436305.77772,Fortune Sunlite Refined Sunflower Oil
389714,10990982.718,26156.0,1606519.16962,GMC Cashews
14627,10814758.023,11058.0,519856.28927000007,Fortune Rice Bran Oil
19735,10676716.334999997,35975.0,-630794.85826,Glucon-D Tangy Orange Instant Energy Drink Mix
277,10641936.227000002,67248.0,1466281.1555360006,Hamdard Rooh Afza Rose Sharbat
18618,10438970.0,20783.0,801421.0955000002,Mother Dairy Pure Ghee
477483,10376093.612999998,44386.0,734900.1537599999,Eggoz Farm Fresh White Eggs
159,10358799.578000002,210200.0,556992.9440550004,Amul Salted Butter
50,10242067.0,57182.0,659791.8708700003,Fortune Premium Kachi Ghani Pure Mustard Oil
14624,10174496.698,53075.0,526350.5306299999,Fortune Rice Bran Oil
388638,9793075.027000003,61247.0,947646.16999,Chakki Atta (5 kg)
470636,9657447.901999999,375526.0,2958315.806805,Banana
37078,9640828.246,20462.0,536902.1442999999,Nandini Pure Ghee
319610,9196357.057999998,141771.0,1258394.0553109995,Mother Dairy Classic Curd
311059,9063399.225000001,53876.0,2633187.0622090003,Royal Gala Apple
391305,8979460.06,282233.0,1429573.464110999,Potato
314,8977499.384999998,236560.0,974292.199351,Thums Up Soft Drink (750 ml)
197187,8866645.357,16512.0,723045.1172199999,Amul Cow Ghee (Tin)
392235,8857655.879,26878.0,-699510.8186899999,Surf Excel Top Load Matic Liquid Detergent
195821,8442645.589000002,15007.0,-816869.9418700006,Surf Excel Easy Wash - Detergent Powder
160704,8375835.979999999,325668.0,263355.31651299977,Amul Cow Fresh Milk
13980,8357326.890000001,21068.0,-623593.5509600003,Tata Tea Premium Tea
73536,8273477.0,17006.0,646767.84621,Gopaljee Ananda Ghee
253317,8214715.93,167825.0,2740695.333478,Mushroom - Packet
18575,8202143.801000001,52395.0,-1060342.4250200002,Vim Lemon Dishwash Gel
10088,8107239.023000002,461428.0,2410407.8538869997,Cucumber
479966,8070896.920999998,36575.0,531598.1501,Dalmia Utsav White Crystal Sulphurless Sugar 5 kg
36188,7963440.989,12150.0,1131121.25584,India Gate Super Basmati Rice
391805,7890730.262999998,23716.0,703977.8775200003,Fortune Hamesha Basmati Rice
18546,7816414.810999999,158881.0,413752.17732300016,Vim Lemon Dishwash Bar - Pack of 3
82224,7810573.984,36535.0,-517306.1833700001,Saffola Gold Healthy Lifestyle & Heart Edible Oil
365678,7715970.045999999,16169.0,598162.4536099999,Pansari Mahak Mogra Basmati Rice (Broken)
168,7639208.714000001,61289.0,370679.81218299986,Amul Pure Milk Cheese Slices
174727,7479376.847999999,40694.0,466082.8598699996,Dhara Kachi Ghani Mustard Oil 1 l
10967,7430453.341999999,16816.0,829355.4735100003,India Gate Rozana Basmati Rice
99407,7287753.914000001,112447.0,371550.7642159998,Amul Masti Curd
428612,7213388.932999999,54585.0,2503116.3080610004,Shimla Apple
169812,7212192.001000001,68868.0,712661.4158300002,Maggi Masala 2 Minute Instant Noodles
217614,7124122.6790000005,283033.0,2964651.107526,Bottle Gourd
19925,7120808.495,285829.0,328146.9903480001,Mother Dairy Toned Fresh Milk
426661,7105666.597,14101.0,-1196485.0571999995,Tata Tea Premium Tea
34778,7065100.935999999,236041.0,690111.7783139999,Amul Moti Toned Milk (90 Days Shelf Life)
25486,6971255.059,26147.0,582090.5820300003,Amul Pure Ghee
11299,6885120.102,34507.0,749345.0099799999,Patanjali Mustard Oil
365455,6821938.757000002,175929.0,2125139.8865320007,Muskmelon
127064,6807834.0,7208.0,372865.9986599998,Fortune Soya Health Refined Soyabean Oil
368445,6792871.767000001,75565.0,205929.8300930001,Kissan Fresh Tomato Ketchup
422948,6762182.085,65905.0,-1511154.2747640007,Sunfeast Yippee Magic Masala Instant Noodles
448096,6754890.143999998,139968.0,1666039.4059609997,Harvest Gold 100% Atta / Wheat Bread
17772,6652614.3599999985,88015.0,715222.972083,iD Idli & Dosa Batter (1 kg)
86446,6601869.61,220912.0,898558.3261709998,Mother Dairy Classic Curd
68483,6583906.777999999,15344.0,304480.16468000016,Aashirvaad Superior MP Whole Wheat Atta (10 kg)
424362,6581343.835,15539.0,-227697.38176999998,Whisper Ultra Clean Sanitary Pads (XL+)
439931,6579152.490000001,18900.0,716350.2769599996,Grocery Almonds
23653,6470164.298999999,67077.0,1078950.9383070003,Rajdhani Besan
169132,6446998.0,97144.0,1246560.430049,Green Grapes
474769,6212284.979,40948.0,828430.4086080003,ChefiGo Curry Cut Chicken
389843,6200501.712,37043.0,1324679.7940590004,GMC Cumin Seeds / Jeera Seeds
391084,6126503.829,7617.0,-1181671.7586100001,"Pampers All Round Protection Diaper (Pants, XL, 12-17 kg)"
283,6118646.375,160601.0,667519.0172789998,Coca-Cola Soft Drink (750 ml)
105,6081875.768000001,279094.0,561320.8252980001,Tata Salt
27119,6057846.761,12128.0,417610.7112500001,Amul Pure Ghee
209178,6043395.572000001,35295.0,71302.11077000007,Harpic Disinfectant Liquid Toilet Cleaner
402268,6034860.114999998,16529.0,537415.0552699998,India Gate Mini II Mogra Basmati Rice (Broken)
393,5967314.023000001,17474.0,-1978939.33271,Surf Excel Top Load Matic Detergent Powder
3898,5960986.218,441270.0,2664588.165087,Lady Finger
4916,5944292.808000001,211745.0,2010720.5812790005,French Beans
18585,5932821.0,34814.0,342582.32050999993,Mahakosh Soyabean Oil
34353,5914745.927999999,84935.0,1543774.699391,Bisleri Packaged Water
478895,5891305.211,66576.0,1049970.471009,Country Delight Taaza Paneer
423735,5797649.511000001,521772.0,2758522.240781,Green Chilli
10968,5754284.747000001,16000.0,520572.90703999985,India Gate Mogra Basmati Rice (Broken)
13,5616481.006999999,62137.0,996122.1541720007,Fortune 100% Chana Dal Besan
394525,5591401.697000001,67228.0,1649611.1268430003,Kiwi
309921,5518586.881,252379.0,178430.94880000036,Nandini Shubham Pasteurised Standardized Fresh Milk
385846,5516355.144,10227.0,-227220.22768999974,Aashirvaad Svasti Pure Cow Ghee
421703,5501854.098000001,270800.0,2244606.7368790004,Ginger
3888,5493933.762000001,281917.0,2461216.610569,Green Capsicum
276355,5471339.103,13475.0,1415776.66278,Ratnagiri Alphonso Mango
9483,5463063.614000001,144217.0,534765.2628360001,Limca Lime 'N' Lemon Soft Drink 750 ml
18619,5436039.0,11406.0,219457.00297,Paras Desi Ghee
11020,5433399.278,40240.0,220173.09201000008,Cadbury Dairy Milk Home Treats Chocolate
37083,5411485.879999999,286646.0,175927.23262899986,Nandini Toned Fresh Milk
19924,5340787.104,180111.0,152882.30719699996,Mother Dairy Full Cream Fresh Milk
23742,5326984.016000001,37205.0,860543.2326710002,Tata Sampann Unpolished Split Moong Dal (Dhuli)
439935,5296148.978,45339.0,613838.9331580001,Grocery Arhar Dal/Toor Dal
445396,5244729.111000001,102444.0,1979274.6081760006,Cauliflower
10557,5165251.052999998,58961.0,362915.4879889999,Coca-Cola Soft Drink
317559,5155426.785,29019.0,1291870.8788939998,Pomegranate
477482,5154538.449,56687.0,-28231.858041999938,Eggoz Farm Fresh White Eggs (10 pieces)
389703,5094292.586999999,53140.0,1518042.9776850007,GMC Plain Makhana/Foxnuts
373665,5078708.702,12631.0,195864.69847999988,"Kellogg's Muesli with 21% Fruit, Nut & Seeds (750 g)"
56692,5046965.476000002,100456.0,1254235.3046449998,Catch Cumin Seeds / Jeera Seeds
364817,5046378.409,5394.0,-707070.9874999999,Ariel Top Load Matic Detergent Powder - Buy 4 kg Get 2 kg Free
408766,4980029.034999998,6556.0,-153663.65603999997,Surf Excel Front Load Matic Detergent Powder
243,4959550.822999999,17178.0,-21680.273349999992,Nescafe Classic Instant Coffee
179771,4937901.0030000005,57984.0,230402.258415,Maggi Nutri-Licious Masala Veg Atta Noodles
11328,4928724.0,8355.0,512608.45718,Gowardhan Premium Cow Ghee
389689,4919301.011999998,45660.0,1958501.0840780013,GMC Green Cardamom Whole/Elaichi
448095,4871857.522,97774.0,1160465.880539,Harvest Gold White Bread
114916,4821781.507,37922.0,769344.3361089998,Rajdhani Kabuli Chana
11007,4818122.736,17050.0,431626.5351600001,Mawana Premium Crystal Sulphurless Sugar
392236,4810969.835999999,12238.0,-128433.15193000004,Surf Excel Front Load Matic Liquid Detergent
286009,4790062.507,54898.0,645109.5227960002,Britannia Bourbon The Original Biscuit - Buy 4 Get 1 Free
3471,4781412.775,59816.0,712140.8052629997,Yakult Probiotic Health Drink
344107,4752890.829,19016.0,252260.45056000003,Aashirvaad Superior MP Whole Wheat Atta (5 kg)
438128,4743073.716000001,44639.0,764533.6042019998,Rajma Chitra
339309,4740475.684,184241.0,173105.15203999993,Mother Dairy Cow Fresh Milk
389717,4724179.527999999,28501.0,954797.904768,GMC American Almonds
403046,4719076.487999999,7474.0,477717.01600999985,Ariel Complete Detergent Powder
35951,4685265.851,7591.0,542872.7093799999,Gowardhan Premium Cow Ghee
10531,4652649.805000001,9030.0,31355.145779999984,Tata Tea Gold Tea
318058,4651265.4350000005,13675.0,19931.95344000002,Harpic Disinfectant Liquid Toilet Cleaner (Original) - Pack of 2
380156,4639839.170000001,25242.0,362895.6747,"Fortune Chakki Fresh (100% Atta, 0% Maida) Atta"
179,4637984.391999999,64085.0,283395.14720899996,Amul Gold Milk
392931,4628624.09,27553.0,-124142.32013000005,Britannia NutriChoice Digestive High Fibre Biscuit - Super Saver pack
24194,4619171.603,105254.0,1140137.027096,Harvest Gold Hearty Brown Bread
10529,4610876.732999999,22263.0,417372.7162299999,Tata Tea Agni Special Blend Tea
32991,4610085.009000001,22665.0,1663521.7220400001,Gainda Phenyl (White)
389683,4605517.217,55699.0,910311.3331060002,GMC Raw Peanuts
120182,4583858.368999999,12851.0,481881.7676099999,Nutella Ferrero Hazelnut Chocolate Spread
39410,4579559.117,23744.0,236903.31383999993,Sunpure Refined Sunflower Oil
429663,4578698.069,12054.0,-165997.20060999988,Vim Lemon Dishwash Gel
63628,4575450.507000001,43434.0,399492.8082039997,Amul Salted Butter (200 g)
37273,4566351.598999999,60703.0,451676.2469830002,Rajdhani Chana Dal
171258,4562598.233000001,86752.0,460863.562626,Maggi Masala 2 Minute Instant Noodles
3889,4561652.686000001,509505.0,2270713.8031379995,Coriander Bunch
127163,4435874.146000001,9507.0,-279747.9903100001,Tide Double Power Lemon & Mint Detergent Powder
4943,4429415.309,145101.0,1048648.784784,Brown Coconut (Nariyal)
391333,4416706.287,75297.0,622177.0796220002,G Fresh White Eggs
479581,4385961.0,26268.0,283855.62000999996,Pansari Kacchi Ghani Mustard Oil
439970,4374730.503999999,40477.0,459794.8664469999,Grocery Malka Masoor
15520,4373197.411,8449.0,347078.4159299999,Amul Pure Ghee
23343,4343919.471999999,181202.0,1783364.9215670007,English Cucumber
352881,4342597.757999999,20162.0,752613.0833099999,Amul Fruit N Nut Fantasy Ice Cream Tub
95031,4316755.713,182793.0,1717936.6531439999,Garlic
18934,4307473.617999999,21594.0,54355.36011,Kissan Mixed Fruit Jam
400329,4291065.0,8025.0,461582.08473,Mother Dairy Pure Cow Ghee
28169,4203909.321,46056.0,606893.757983,Milky Mist Paneer
10973,4182747.4809999997,10339.0,216522.68532999995,Daawat Rozana Gold Basmati Rice
335465,4120319.5510000004,16288.0,154255.89806000004,Daawat Sehat Mini Mogra Basmati Rice (Broken)
190325,4091915.4180000005,24906.0,1038400.140998,Washington Apple
459720,4070252.4910000004,117190.0,511511.06437100004,iD Creamy Thick Curd
403776,4038642.964999999,36912.0,280452.15072800004,Basic Moong Dal (Dhuli)
300635,4014841.300999999,32025.0,1784888.30512,Red & Yellow Capsicum
63239,4005224.1149999998,13415.0,-500477.76993999974,Hit Spray Flies & Mosquito Killer
439933,3998884.052999999,9766.0,631383.5631600003,Grocery Cashews
390778,3977309.982,5003.0,-824223.4735200001,"Pampers Diaper (Pants, L, 9-14 kg)"
12,3977183.7529999996,69921.0,760844.758571,Rajdhani Sooji/Rava
55389,3974073.537,19691.0,489872.3528700001,Patanjali Whole Wheat Chakki Atta (with Bran) 5 kg
52594,3953659.0,12324.0,483550.4239199998,Gowardhan Premium Cow Ghee
61743,3946342.9430000004,45211.0,285766.86044,Thums Up Soft Drink (2 l)
254556,3930569.357,12407.0,-667946.7064300003,All Out Ultra - Mosquito Repellent Refill (6 x 45 ml)
389715,3919179.1750000007,13085.0,859368.9024100006,GMC Walnut Kernels
89120,3911022.8479999998,27592.0,788806.5158470006,Tata Sampann Unpolished Masoor Dal
18555,3858955.8130000005,19679.0,-9915.059030000062,Surf Excel Easy Wash Detergent Powder
479282,3842996.0,11674.0,298201.0799799999,Wills Classic Ice Burst Cigarette (Switch)
31,3840127.147000001,89883.0,936013.4672460007,Rajdhani Thick Poha
19293,3818797.301,15609.0,286102.1813599999,Haldiram's Bhujia
19481,3809242.589000001,19764.0,-156642.07802999995,Pears Pure & Gentle Soap
478893,3808875.1350000002,65776.0,688374.5231739999,Country Delight Ghar Jaisa Curd
479280,3802525.353,11558.0,292470.85807,Wills Classic Mild Cigarette
19729,3776257.4159999997,12343.0,-101377.23962000004,Glucon-D Nimbu Pani Instant Energy Drink Mix
481206,3774150.247,18049.0,1122221.0660400002,Amul Vanilla Magic Gold Ice Cream
